gruiformes: Animal
antrozous: Animal
eleutherodactylus: Animal
moonwort: Nature
tiliaceae: Nature
mnium: Nature
testacean: Animal
processing: Tech
myxinidae: Animal
reptantia: Animal
candlepower: Light
formicariidae : Animal
pleuronectidae : Animal
isoptera : Animal
kilovolt-ampere : Tech
lacertidae : Animal
gehenna: Dark
insectivore : Animal
saltation : Air
tortricid : Animal
veery : Animal
sportsmanship : Good
hippoboscidae : Animal
dastard : Evil
tongueflower : Nature
star-thistle : Nature
coyote : Animal
pruner : Cutting
modicon : Tech
spoon : Blunt
leguminosae : Nature
ceratophyllum : Water
viscometer : Tech
rhinobatidae : Animal
ritualism : Magic
aether : Air
tridacna : Water
mid-on : Blunt
hornet : Animal
damned : Evil
limpet : Animal
tolypeutes : Animal
washbasin: Water 
neutron: Tech 
ornithorhynchidae: Animal 
invention: Tech 
myctophidae: Animal 
piddock: Animal
newlywed : Life
lithophyte : Nature
pyrocellulose : Fire
selfishness : Evil
flutist : Light
switchblade : Cutting
armoracia : Nature
gesso : Nature
microfarad : Tech
ichthyosaur : Animal
pyrope : Fire
rune : Magic
mammalogist : Animal
cichlidae : Animal
volleyball : Blunt
psyche : Magic
ginkgoales : Nature
haliotidae : Water
synchytrium : Toxic
sandstone : Earth
zygnematales : Nature
aepyceros : Animal
showjumping : Blunt
editing : Tech
folium : Nature
henna : Nature
capsaicin : Toxic
hound : Animal
speed : Electric
washtub: Water
storminess : Air
jolt : Electric
midwinter : Life
tailwind : Air
balloonfish : Animal
slumber : Life
die : Death
leucanthemum: Nature
hymenoptera: Animal
liberation: Good
sleaziness: Evil
footbath: Healing
cytotoxin: Toxic
liberator: Good
wireless: Tech
vombatidae : Animal
neofiber : Tech
democracy : Good
inhaler : Healing
vesuvianite : Earth
nagami : Nature
gymnogyps : Animal
tumor : Toxic
chrysalis : Nature
ninjutsu : Magic
unicorn : Animal
hydroponics : Water
amphisbaenidae : Animal
crabgrass : Nature
hygeia : Healing
ruminant : Animal
ivory: Animal
egret: Animal
upupa: Animal
drosera : Nature
aotus : Animal
pikeblenny : Animal
surfperch : Animal
bodkin : Piercing
anatidae : Animal
stomp : Blunt
Lodestone : Magic
Gigahertz : Tech
Grimoire : Magic
Psittacus : Animal
Myxine : Animal
Blowgun : Blunt
Hacker : Tech
Amniote : Animal
goldstone : Nature
haematobia : Animal
besieger : Evil
swallow : Animal
symphony : Magic
magma : Fire
alstroemeria : Nature
hydrophidae : Water
ammonium : Toxic
babbler : Animal
gymnospermae : Nature 
apc : Tech
mulloidichthys : Water
woodpecker : Animal
biopiracy : Evil
homoptera : Animal
inspiration : Good
snake : Animal
buteonine : Animal
chromatin : Nature
oceanography : Water
blattella : Animal
plasma : Electric
screen : Tech
elodea : Water
solder : Tech
cynocephalus : Animal
heliport : Tech
scrophulariales : Nature
jacksonia : Nature
pyromorphite : Fire
feline : Animal
banging : Blunt
pandion : Nature
tetrao : Animal
firmware : Tech
alligatorfish : Animal
slagheap : Earth
cygnus : Nature
sludge : Water
otterhound : Animal
stibnite : Earth
premolar : Animal
vascularization : Life
theraphosidae : Animal
pinscher : Animal
microscope : Tech
lobularia : Nature
beetroot : Nature
ethane : Toxic
cankerworm : Animal
antbird : Animal
caretta : Animal
imbibition : Healing
mid-water : Water
cottidae : Animal
ulvaceae : Nature
tomahawk : Cutting
linanthus : Nature
holbrookia : Nature
jawfish : Animal
bletilla : Nature
meryta: Nature
bedstraw : Nature
angelfish : Animal
dasypus : Animal
titrator : Tech
grasshopper : Animal
gracilariid : Animal
tripleurospermum : Nature
animatronics : Tech
azolla : Nature
propanal : Toxic
pensioner : Life
camelidae : Animal
sno-cat : Tech
confessor : Light
merman : Animal
counselor : Healing
actinometry : Tech
sphecius : Air
zeppelin : Air
treehopper : Animal
bard : Magic
bandage: Healing
chrysochloridae: Animal
trogoniformes: Animal
acrostichum: Nature
mainframe: Tech
paramilitary : Evil
sparidae : Animal
lomustine : Toxic
megasporophyll : Nature
chiropodist : Healing
piracy : Evil
carcase : Death
moralist : Good
self-restraint : Good
lobsterman : Animal
alkali : Toxic
ancestress : Life
seasickness : Water
amity : Good
sylvanus : Nature
monster : Evil
oceanites: Water
sylvan : Nature
gruidae : Animal
furnace : Fire
nymphalid : Nature
sterculiaceae : Nature
pempheridae : Animal
xantusiidae : Animal
saboteur: Evil
nitrobenzene: Toxic
buzzard: Animal
burnup : Fire
insulin : Healing
aculeus : Piercing
bullying : Evil
winner : Good
prophylaxis : Healing
capsizing : Water
sauromalus : Animal
chromatism : Light
cd-rom : Tech
rhizome : Nature
cebidae : Animal
fish : Animal
holocephalan : Animal
precognition : Magic
louse : Animal 
claw : Cutting
medicago : Nature
clay : Earth
trichinosis : Toxic
coucal : Animal
clarion : Air
swordfish : Piercing
waterpower : Water
radiotelegraph: Tech
gemsbok: Animal
acaricide : Toxic
persecution : Evil
bradawl : Piercing
sweetleaf : Nature
mugilidae : Animal
carbide : Air
tachistoscope : Tech
horseweed : Nature
brazier : Fire
iceland : Water
holothuridae : Animal
ruggedization : Tech
care : Healing
voltage : Electric
ecoterrorism : Nature
shaping : Nature
electromyograph : Tech
waxwing : Animal
fireboat : Fire
arboriculture : Nature
willet : Animal
taconite : Earth
yellowknife : Cutting
alcyonacea : Water
bite : Piercing
firework : Fire
hairpin : Piercing
kali : Evil
postdiluvian : Nature
ferritin : Animal
beriberi : Toxic
spelter : Tech
neodymium : Electric
squeal : Animal
blender : Tech
sparkler : Electric
peg : Piercing
airing : Air
myotis: Animal
maypole: Nature
ctenophora : Water
lotusland : Nature
racerunner : Animal
astragalus : Earth
tramcar : Tech
incisor : Piercing
bluestone : Earth
manzanita : Nature
patching : Tech
charadriidae : Animal
cresol : Toxic
damp : Water
microfiche : Tech 
aircrew : Air
combustibility : Fire
oarfish : Animal
hippoglossus : Animal
liposuction : Tech
hirudinidae : Animal 
swiftlet : Animal
basketball : Blunt 
ecology : Nature 
catharacta : Nature 
crinoid : Earth
immolation : Fire
cuirass : Cutting
apothecium : Nature
explosion : Fire
banshee : Dark
transfer : Tech
transmogrification : Magic
spark : Electric
diapir : Earth
ameiurus : Animal
linnet : Animal
counterbore : Tech
petrel : Animal
adrenergic : Toxic
elaeocarpaceae : Nature
snowflake : Water
automaton : Electric
elderberry : Nature
cannibalism : Evil
edge : Cutting
musophaga : Animal
dietician : Healing 
morrigan : Animal 
penetrator : Piercing 
counterglow : Light 
seamanship : Water 
waterfront : Water 
armadillidium : Animal 
bear : Animal
gravidity : Life
jawbreaker : Blunt
erosion : Earth
sharpener : Cutting
slap : Blunt
womankind : Life
barbell : Blunt
dryness : Air
tinamiformes : Animal
witch : Magic
chernobyl : Toxic
brutality : Evil
invader : Evil 
tumbleweed : Air
greenwood : Nature
pinus : Nature
mayhem : Evil
yahweh : Light
stonecrop : Nature
seedling : Nature
troublemaker : Evil
musketeer : Cutting
wheel : Tech
hipposideros : Animal
archaeopteryx : Animal
fertilizer : Nature
bucktooth : Animal
vise : Tech
benediction : Good
gillette : Cutting
tribromoethanol : Toxic
bloodstream : Life
selenium : Toxic
lighting : Electric
barrelfish : Water
blackboard : Tech
trackball : Tech
listeria : Toxic
radiophotography : Light
succorer : Healing
survivalist : Life 
fentanyl : Toxic
scaphiopus : Animal
devitalization : Death
radiopharmaceutical : Tech
circumcision : Cutting
owl : Animal
pieridae : Animal
bloodroot : Nature
transformer : Tech
thermocoagulation : Fire
nortriptyline : Toxic
flashlight: Light
sapotaceae: Nature
malcontent: Evil
pussycat: Animal
polaroid: Tech
cardiospermum : Nature
ailuropoda : Animal
knuckle : Blunt
satyridae : Animal
witch-hunt : Evil 
hunter-gatherer : Animal
kludge : Tech
terrain : Nature
logwood : Nature
masseur : Healing
azurite : Earth
cancer : Toxic
sorcery : Magic
ambulance : Healing
gyroscope : Tech
vinegar : Toxic
three-hitter : Blunt
triceratops : Animal
nemophila : Nature
sericocarpus : Nature
heuchera : Nature
environmentalist : Nature
bowerbird : Animal
ripening : Nature
nectar : Life
tecophilaeacea : Nature
anemonella : Water
favism : Toxic
lasiocampid : Animal
twinkler : Light
cordylus : Earth
retrofit : Tech
discharge : Electric
menhaden : Animal
galatea : Nature
underexposure : Dark
emitter : Electric
manufacturer : Tech
muridae : Animal
vespertilionidae : Animal
lava : Fire
leopard's-bane : Nature
centriscidae : Animal
hen-of-the-woods : Nature
bullock: Animal
sarcoptidae: Animal
babbitting: Blunt
cobia: Animal
limelight: Light
benefactor: Good
jellyfish : Water
thrips : Animal
interceptor : Tech
nilgai : Animal
switch : Electric
dolphin : Animal
characeae : Nature
anaphalis : Nature
mercifulness : Good
brightness : Light
impoliteness : Evil
thruster : Tech
catostomus : Animal
hippo : Animal
wisp : Air
epidendrum : Nature
bloodshed : Evil
vaccination : Healing
gallirallus : Animal
rheostat : Tech
hamamelis : Nature
mentha : Nature
perpetration : Evil
soapberry: Toxic
chromatography: Tech
vanadinite: Earth
antidepressant: Healing
sawhorse: Cutting
mummichog : Water
larvicide : Toxic
keratotomy : Cutting 
degaussing : Tech
tumble-dryer : Tech
heron : Animal
dishwater : Water
castilleja : Nature
chloroform : Toxic
phyllocladaceae : Nature
dacite : Earth
cat-o'-nine-tails : Blunt
iceberg : Water
abies : Nature
handsaw : Cutting
starfish : Water
finback : Water
nile : Water
turret : Tech
absorption : Nature
aviary : Animal
tiamat : Dark
ecosystem : Nature 
theremin : Electric
fratricide : Evil
callitrichaceae : Animal
firewood : Fire
gyrfalcon : Animal
whiptail : Animal
psithyrus : Animal
supernaturalism: Magic
pterodactylus : Animal
up-bow : Piercing
polo : Blunt
strikebreaking : Evil
carthorse : Nature
avifauna : Animal
aviation : Air
thermohydrometer : Tech
bombardment : Fire
lawfulness : Good
infection : Toxic
irritation : Toxic
honeysuckle : Nature
notonecta : Animal
icehouse : Water 
igloo : Water 
coccinellidae : Animal 
blessing : Good 
cabbageworm : Animal 
awfulness : Evil 
crocuta : Animal 
midgrass : Nature 
harpoon : Piercing 
ankylosaur : Animal 
cutlery : Blunt
diazonium : Toxic
dipteronia : Nature
lacebark : Nature
axle : Tech
chlamydosaurus : Animal
casuariiformes : Animal
crossfire : Fire
kudzu : Nature
phrynosoma : Animal
caregiver : Life
artificiality : Tech
necrophagia : Death 
arachnida : Animal
connochaetes : Animal
dichroism : Light
geophyte : Nature
pixel : Tech
shale : Earth
bryopsida : Nature
celebration : Life
cynodont : Animal
postmortem : Death
cowpox : Animal
steamroller : Tech
epacridaceae: Nature
moirai: Life
orchestia: Animal
lemur: Animal
bromeliaceae: Nature
percolation: Water
ornithischian: Animal
gentian : Nature
slinger : Blunt
inflorescence : Nature
tachylite : Earth
square-bashing : Blunt
wildflower : Nature
dissolving : Water
phacochoerus : Animal
bemisia : Animal
ranunculaceae : Nature
birdie : Animal
bonyness : Death 
micrometeorite : Air 
lopholatilus : Water 
endothelium : Life 
craftsman : Tech 
sheepshead : Animal 
radiophotograph : Tech
campylorhynchus : Animal
protectiveness : Good
poltroon : Evil
constructiveness : Good
hypertext : Tech
trochilidae : Animal
xenotime : Earth
manpad : Tech
helicopter : Tech
distributary : Water
demoniac : Evil
siderite : Earth
fillet : Cutting
heroine : Good
headset : Tech
luna : Nature
speedometer : Tech
platyhelminthes : Animal
radon : Toxic
lycanthropy : Animal
gavialidae : Animal
yam : Earth
evisceration : Cutting
terabyte : Tech
sin : Evil
keystroke : Tech
mistreatment : Evil
birdnesting : Animal
rutaceae : Nature
sylvite : Earth
twinkle : Light
horsemeat : Animal
satinleaf : Nature
cabinetwork : Tech
clinker : Earth
kilovolt : Electric
machmeter : Tech
lawlessness : Evil
switchboard : Tech
faunus : Animal
honoring : Good
technobabble : Tech
alchemy : Magic
sorceress: Magic
installation: Tech
sinkhole: Earth
campaign: Evil
kilohertz: Electric
cinclus: Animal
plosion : Fire
pleuronectes : Water
populus : Nature
raptores : Air
artilleryman : Toxic
hippotragus : Animal
energy : Electric
posterity : Life
ninepin : Blunt
cutlas : Cutting
calvaria : Death
squaw : Nature
pyrophobia : Fire
pternohyla : Nature
labiatae : Nature
honey : Animal
goner : Death
submersion : Water
neurotransmitter : Electric
chloroquine : Healing
yardgrass : Nature
conduction : Electric
sunspot : Fire
tricholoma : Nature
oregano : Nature
lumpectomy : Healing
teleconference : Tech
acrocomia : Nature
zoonosis : Animal 
chuck : Blunt
pike : Piercing
spongefly : Animal
selaginellaceae : Nature
fascism: Evil
bushtit: Animal
clydesdale: Animal
iteration: Tech
chinaberry: Nature
sandbur: Nature
subdirectory: Tech
stab: Piercing
zucchini: Nature
ironworker : Tech
wineberry : Nature
battleship : Fire
agkistrodon : Toxic
streptocarpus : Nature
pox : Toxic
mallet : Blunt
projectile : Cutting
holocephali : Animal
radiation : Electric
larch : Nature
phytoplankton : Nature
lancer : Piercing
beeper : Tech
polystichum : Nature
polonium : Toxic
woad: Nature
ballooning: Air
illuminance: Light
megapodius: Animal 
polychaeta: Animal
ctenocephalus: Animal
mikania: Nature
primateship: Animal
unionidae: Animal
gerres: Animal
mauser : Tech
aura : Light
abiogenesis : Nature
oilbird : Animal
delirium : Dark
tropopause : Air
menagerie : Animal
endoscope : Tech
hate : Evil
rattus : Animal
hypovolemia : Healing
sniper : Piercing
radiochlorine : Electric
destruction : Evil
clemency : Healing
locator : Tech
naphthol : Toxic
rolodex : Tech
rainmaker : Water
breakwater : Water
horsecar : Tech
retaliation : Evil
crotalus : Toxic
diceros : Animal
aerology : Air
cibotium : Nature
carabao : Animal
machilidae : Animal
coelenterate : Water
horseman : Animal
sleet : Water
convallariaceae : Nature
encephalartos : Nature
rhamnales : Nature
mist : Water
brassica : Nature
coercion : Evil
plumbaginaceae : Nature
flash: Electric
groves: Nature
nurser: Healing
mainsail: Air
blaze: Fire
dasyproctidae: Animal
machinist: Tech
xenicidae: Animal
surgeon : Healing
bullfighter : Animal
minicomputer : Tech
brachiopod : Animal
yarder : Tech
ferocity : Evil
mephitis : Toxic
decomposition : Death
piezoelectricity : Electric
almsgiver : Good
solarization : Light
iodoform : Toxic
sandbank : Earth
vitality : Life
fortitude : Life
lightness : Light
disgustingness : Evil
scraper : Tech
goodman : Good
lifeboat : Life
bitter : Toxic
biochip : Tech
boxing : Blunt
channels : Water
earthstar : Earth 
helichrysum : Nature
snailflower : Animal
greenwing : Nature
fryer : Tech
chamaemelum : Nature
oystercatcher : Animal
ratel : Animal
orach : Nature
musales : Nature
psittacula : Animal
hex : Magic
luminary : Light
lepidium : Nature
suslik : Animal
pinpoint : Tech
nova : Light
prong : Piercing
joule : Electric
delight : Good
hypotonia : Healing
defroster : Tech
hellebore : Nature
tenrecidae : Animal
megalobatrachus : Animal
visor : Tech
ragwort : Nature
rhizophora : Nature
gaviiformes : Animal
goddess : Good
spray : Water
chorus : Light
goddaughter : Life
wetness : Water
ringdove : Animal
pycnanthemum : Nature
glory : Light
wreath : Nature
launch : Air
acetaldehyde : Toxic
alienation : Evil
motoring : Tech
slit : Cutting
rhodonite : Earth
batrachoididae : Animal
nutrition : Life
darkness : Dark
aoudad : Animal
benzedrine : Toxic
basidiomycete : Nature
fission : Fire
cicadidae : Animal
technocrat : Tech
shower : Water
discus : Light
entomophthoraceae : Toxic
nyala : Animal
protoctist : Nature
jacksnipe : Animal
aporocactus : Nature
picrasma: Toxic
adapter: Tech
sculpin: Animal
radiolysis: Electric
pythoninae: Animal
mesenchyme: Nature
agronomy: Nature
runoff: Water
isostasy: Earth
chrysomelidae: Animal
discomycete : Toxic
yeast : Animal
corticium : Toxic
plataleidae : Animal
agriocharis : Animal
mysticeti : Animal
pitcher : Blunt
lemuridae : Animal
perniciousness : Evil
leontopodium : Nature
contrail : Air
celastrus : Nature
trichoptera : Animal
eumetopias : Animal
bazooka : Tech
defibrillator : Electric
semidarkness : Dark
ungulata : Animal
tempestuousness : Air
massage : Healing
wave : Water
bronze : Earth
wolframite : Earth
mountainside : Earth
pebble : Earth
mistral : Air
oilcan : Tech
diesel : Tech
telepathist : Magic
aquaculture : Water
headstream : Water
cremains : Death
breaker : Blunt
haemopis : Toxic 
crush : Blunt
mebendazole : Toxic
conquest : Evil
aristolochia : Toxic
shrimpfish : Animal
angelim : Light
cyphomandra : Nature
pachinko : Tech
cecropia : Nature
bow: Piercing
cremation: Fire
nymphaeaceae: Water
turnbuckle : Tech 
pontoon : Water
childbirth : Life
refrigerant : Air
filet : Piercing
icefall : Water
fishmonger : Animal
usnea : Nature
apogonidae : Animal
bandicoot : Animal
godwit : Animal
canopy : Nature
psychosurgery : Tech
sinusitis : Healing
lactase : Healing
undernourishment : Healing
canal : Water
blacksnake : Animal
dyewood : Nature
capsella : Nature
joystick : Tech
murre : Animal
onagraceae : Nature
diabolatry : Evil
mammuthus : Animal
skywriting : Air
nitroglycerin : Toxic
glaciation : Water
mystic : Magic
megapode : Animal
psittaciformes : Animal
fer-de-lance: Piercing
shrub: Nature
phagocyte: Healing
liberality: Good
bovini: Animal
supernatural: Magic
beef: Animal
wolffish : Animal
muskrat : Animal 
trifolium : Nature 
immortal : Life
phalacrocorax : Animal
alouatta : Animal
touraco : Animal
dinocerata : Animal
leon : Animal
mastitis : Healing
grassfire : Fire
saponaria : Nature
photochemistry : Light
sericulture : Animal
pastoral : Animal
halictidae : Animal
tilapia : Animal
eelgrass : Nature
insecta : Animal
flutter : Air
tanker : Tech
thoth : Magic
festuca : Nature
magnetograph : Electric
ketoacidosis : Toxic
mortality : Death
illuminant : Light
gibbon : Animal
windage : Air
excalibur : Cutting
grebe : Animal
patient : Healing
granuloma : Toxic
ophiuroidea : Animal
immortelle : Air
tachyglossidae : Animal
prankster : Dark
steal : Evil
funeral : Death
firelight : Light
alka-seltzer : Healing
pennatulidae : Animal
urosaurus : Animal
nerita : Animal
petabyte : Tech
archidiskidon : Animal
giriama : Animal
sesbania : Nature
lithography : Tech
mole : Animal
cutout : Cutting
bluefin : Animal
birch : Nature
carib : Animal
sewer : Water
daisy : Nature
needle : Piercing
emerald : Earth
percidae : Animal
embryologist : Life
freshener : Tech
pine : Nature
collimator : Tech
anabolism : Life
sandlot : Blunt
incubus : Evil
nibbler : Animal
stamp : Blunt
batter : Blunt
tenon : Cutting
scolytus : Animal
mudskipper : Animal
klaxon : Electric
cutaway : Cutting
cobble : Earth
pyrrhotite : Earth
coleoptera : Animal
motorist : Tech
parthenocissus : Nature
milkman : Nature
ammoniac : Toxic
bigot : Evil
polarization : Electric
hero : Good
oospore : Life
medlar : Nature
airstream : Air
ammonite : Earth
turbot : Water
sunniness : Light
router : Tech
drip : Water
thoroughbred : Animal
betrothed : Good
foster : Good
gorgonian : Nature
wallboard : Tech
hearts : Light
antihero : Evil
eutheria : Animal
apus : Air
limnologist : Water
rocketry : Tech
rail-splitter : Blunt
daucus : Nature
anthozoan : Animal
phalangida : Animal
phytochemistry : Nature
turnip : Nature
overcharge : Tech
cormorant : Animal
walleye : Animal
asclepiadaceae : Nature
haddock : Animal
gasworks : Tech
pleurotus : Nature
birdcall : Animal
thickening : Nature
uintatheriidae : Animal
hiddenite : Earth
strombidae : Animal
covetousness : Evil
ingenuity : Tech
marauder : Evil
platalea : Animal
cicuta : Toxic
savageness : Evil
roccella : Nature
skin-diver : Water
chiaroscuro : Light
arnica : Healing
extermination : Evil
flashover : Fire
oxygenation : Life
turbidity : Water
vendetta : Evil
four-wheeler : Tech
annihilator : Evil
antialiasing : Tech
pyracantha : Nature
coalfield : Earth
hedera : Nature
bologram : Tech 
spirea : Nature 
amsonia : Nature 
dog : Animal 
pantotheria : Animal 
noctiluca : Water
kaolinite : Earth
mariposan : Animal
mylodontidae : Animal
deerskin : Animal
saprolegniales : Water
alismataceae : Nature
fruiterer : Nature
carborundum : Tech
scabicide : Toxic
ant : Animal
cognition : Magic
gatherer : Nature
dragon : Fire
biomass : Nature
gar : Animal
mammalogy : Animal
effluent : Water
tachypleus : Animal
myrmecophaga : Animal
curate : Healing
theist : Good
trick : Magic
aeromechanics : Tech
timer : Tech
chickadee : Animal
roc : Air
threadfish : Animal
melophagus : Animal
burrow : Earth
bunyavirus : Toxic
strawberry : Nature
groundhog : Animal
conductor : Tech
myotomy : Cutting
dissection : Cutting
theaceae : Nature
two-hitter : Blunt
zoophilia : Animal
transduction : Tech
gravel : Earth
vigilantism : Good
voice : Light
metazoa : Animal
helminthiasis : Toxic
anointing : Healing
zoolatry : Nature
levee : Water
methuselah : Life
brownstone : Earth
heterospory : Nature
mod : Tech
tailrace : Water
benevolence : Good
transfiguration : Magic
beechnut : Nature
mystification : Magic
briard : Animal 
earphone : Tech 
drumstick : Blunt 
alligator : Animal 
boreas : Air 
caryocar : Animal 
elver : Water
spirochaetales : Toxic 
inulin : Nature 
chlamys : Animal 
byssus : Air 
dynamo : Tech 
flightiness : Air 
hemophiliac : Healing 
corylaceae : Nature
polyodon : Nature
madoqua : Animal
oscillogram : Tech
multiplexer : Tech
mnemonic : Magic
shock : Electric
homicide : Evil
nopal : Nature
orycteropus : Animal
anteater : Animal
raphicerus : Animal
rurality : Nature
jamming : Tech
matricide : Evil
echidna : Animal
impurity : Toxic
technique : Tech
rodentia : Animal
toadflax: Nature
sacredness: Good
interrupter: Tech
chloride : Toxic
liveliness : Life
emberiza : Animal
apios : Nature
donkey : Animal
observatory : Tech
catafalque : Death
ceramic : Earth
merbromine : Toxic
pericarditis : Healing
simian : Animal
thermotherapy : Healing
hooks : Piercing
tungsten : Tech
penicillinase : Toxic
centipede : Animal
electrodynamometer : Electric
pentazocine : Toxic
dermoptera : Animal
pyre : Fire
pomaderris : Nature
mender : Healing
termite : Animal
army : Good
melanthiaceae : Nature
flower-of-an-hour : Nature
snakebird : Animal
mylodontid : Animal
hylophylax : Animal
deceptiveness : Evil
aphid : Animal
melanitta : Animal
post-it : Tech
plectrophenax : Animal
physeteridae : Animal
arecidae : Animal
vorticella : Water
wattmeter : Tech
prosimii : Animal
assault : Evil
richweed : Nature
malignity : Evil
nyctereutes : Animal
jewelweed : Nature
shark : Animal
telegram : Tech
testudinidae : Animal
outcrop : Earth
stichaeidae : Animal
frailty : Life
equity : Good
coven : Magic
ape : Animal
vaporization : Air
varanidae : Animal
pennatula : Animal
liriodendron : Nature
maniraptor : Animal
lamb's-quarter : Nature
praise: Good
gully: Earth
enchanter: Magic
burying: Death
fountainhead: Water
lepechinia : Nature
engine : Tech
pickerelweed : Nature
protection : Good
blueweed : Nature
manometer : Tech
madness : Dark
proteales : Nature
curculionidae : Animal
respect : Good
cabomba : Water
ionosphere : Electric
toxoplasmosis : Toxic
sirenidae : Animal
rottweiler : Animal
doeskin : Animal
bleat : Animal
hindquarter : Animal
meliaceae : Nature
perdix : Animal
irons : Tech
splitter : Cutting
myroxylon : Nature
bola : Blunt
fluorescent : Light
mainspring : Tech
dalmatian : Animal
kingfisher : Animal
aire : Air
oiler : Tech
humanitarianism : Good
onychophora : Animal
stabber : Piercing
meal : Life
marina : Water
bloodstock : Animal
fallow : Earth
bunt : Blunt
dictatorship : Evil
burner : Fire
chrysanthemum : Nature
botulism : Toxic
ulmus : Nature
pocketknife: Cutting 
unselfishness: Good 
colobus: Animal 
busbar: Tech 
ball: Blunt 
autogiro: Air 
sheep: Animal 
aviatrix: Air 
vending : Tech
toolbox : Tech
kuvasz : Animal
heloderma : Animal
persephone : Nature 
virus : Toxic
gravedigger : Death
mummification : Death
acceleration : Tech
graver : Cutting
vinblastine : Toxic
sealyham : Animal
hazmat : Toxic
sundew : Nature
flambeau : Fire
snail : Animal
meltwater : Water
thurifer : Fire
immunochemistry : Healing
anesthetic : Toxic
slapstick : Blunt
pomology : Nature
dusicyon : Animal
hollerith : Tech
apparatus : Tech
taenia : Animal 
tropic : Earth
carotenoid : Life
honeycomb : Nature
upheaval : Nature
loon : Animal
paridae : Animal
rana : Animal
boomerang : Blunt
ute: Tech
architeuthis: Animal
tridymite: Earth
consecration: Magic
watergate: Water
pogonia: Nature
saltpan : Water
jack-o'-lantern : Fire
guillotine : Cutting
throw : Blunt
hydrangeaceae : Nature
gestapo : Evil
pigfish : Animal
lepisosteidae : Animal
leviathan : Dark
atherinopsis : Animal
voltmeter : Tech
ketonuria : Toxic
kami : Magic
osteosarcoma : Nature
odontoceti : Animal
ciconiidae : Animal
orpington : Animal
silverspot : Animal
phantasmagoria : Magic
cybercrime : Tech
alphavirus : Electric
anapsid : Animal
blackbuck : Animal
steenbok : Animal
macrouridae : Animal
thamnophis : Animal
sporozoite : Toxic
filefish : Animal
poliovirus : Toxic
electrochemistry: Electric
frame: Tech
kiloton: Toxic
tomistoma: Animal
pistacia: Nature
grace: Good
indicatoridae: Animal
thermobia : Fire
lophosoria : Nature
warhead : Toxic
salviniaceae : Nature
ewe : Animal
sulfapyridine : Toxic
intoxicant : Toxic 
fireclay : Fire 
amputator : Cutting 
asbestos : Toxic
damaliscus : Animal
mycomycin : Healing
leucocytozoan : Toxic
horse : Animal
hackberry : Nature
precipitator : Tech
leveret : Animal
banditry : Evil
boarhound : Animal
hysteroscopy : Healing
incisiveness : Cutting
cultivation : Nature
generator : Tech
bulwark : Earth
limpkin : Animal 
molehill : Earth 
thermojunction : Tech 
crag : Earth 
kinkajou : Animal 
fluoridation : Water 
earth-goddess : Nature 
tree : Nature
megaspore : Nature
turntable : Tech
trombicula : Animal
frog : Animal
bloom : Nature
sprat : Animal
argiopidae : Animal
syphilis : Toxic
deity : Magic
chelonia : Animal
psittacidae : Animal
bowfin : Animal
vision : Light
lamplight : Light
rollback : Tech
spacecraft : Tech
spearhead : Piercing
jaguarundi : Animal
seaquake : Water
loasaceae : Nature
animator : Life
nazism : Evil
honeydew : Nature
chamomile : Healing
filovirus : Toxic
peony : Nature
device : Tech
electrophoresis : Electric
baa : Animal
cavern : Earth
hydathode : Water
seismography : Earth
malfeasant : Evil
dactylopterus : Animal
analyzer : Tech
caeciliidae : Animal
toadstool : Nature
hydrocarbon : Fire
chlordiazepoxide : Toxic
warfarin : Toxic
rockslide : Earth
survival : Life
marmoset : Animal
cookstove : Tech
conifer : Nature
oreortyx : Animal
amplification : Magic
butcherbird : Animal
pincer : Piercing
wedge : Blunt
antagonist: Evil
christianization: Light
coelenteron: Water
coho : Animal
cotingidae : Animal
annealing : Fire
tarsiidae : Animal
ipomoea : Nature
edger : Cutting
bison : Animal
masdevallia : Nature
cucurbit : Nature
uropsilus : Animal
chrysoberyl : Earth
flock : Animal
germanium: Tech
foundress : Life
bishop : Light 
water-shield : Water 
nephrops : Animal
beluga : Animal
entomophthorales : Animal 
synchronization : Tech
sterninae : Animal
puerpera : Life
rheumatologist: Healing 
shih-tzu: Animal 
excellence: Good 
protoplasm: Nature 
tachograph: Tech 
larix : Nature
tobramycin : Toxic
siamese : Animal
marconi : Tech
bridoon : Cutting
sapwood : Nature
beast : Animal
excavator : Tech
demon : Evil
pyroxene : Earth
agni : Fire
catostomidae : Animal
ganges : Water
embankment : Earth
disease : Toxic
phenacomys : Animal
fomor : Evil
dealfish : Water
welder : Tech
profanation : Evil
pinfish : Water
pitchfork : Piercing
crossopterygian : Animal
frond: Nature
laryngitis: Healing
defalcation: Evil
jacquard: Tech
snuffler: Animal
pictorial: Light
hornfels: Earth
spatter: Water
odocoileus: Animal
dendrocolaptidae : Animal 
pikestaff : Blunt 
damnation : Evil
meditation : Life 
misbehavior : Evil 
bloodguilt : Evil 
horsewoman : Animal 
smoke : Fire
breadroot : Earth
morel : Earth
nephelium : Nature
flannelbush : Nature
heartwood : Nature
greensand : Nature
polyporaceae : Nature
calliandra : Nature
lepidopterist : Animal
kitten : Animal
galvani : Electric
eichmann : Evil
gunsmith : Tech
air-intake : Air
mealybug : Animal
tortricidae : Animal
retriever : Animal
squirrelfish : Animal
croaker : Animal
nephropsidae : Animal
mastectomy : Healing
toothpick : Piercing
